21:58:59.135197 | INFO    | fractal/logging/logging.c           | init_logger                   :107   | Logging initialized!
21:58:59.135457 | INFO    | client/main.c                       | main                          :311   | Client protocol started.
21:58:59.197429 | INFO    | fractal/logging/error_monitor.c     | error_monitor_initialize      :258   | Error monitor initialized!
21:58:59.197545 | INFO    | client/main.c                       | main                          :322   | Whist client revision ccc9e4d40
21:58:59.197558 | INFO    | fractal/core/fractal.c              | multithreaded_print_system_info:34    | Hardware information:
21:58:59.207034 | INFO    | fractal/utils/sysinfo.c             | print_os_info                 :88    | OS ProductName:\tmacOS
21:58:59.207048 | INFO    | fractal/utils/sysinfo.c             | print_os_info                 :90    | OS ProductVersion:\t12.0.1
21:58:59.207057 | INFO    | fractal/utils/sysinfo.c             | print_os_info                 :92    | OS BuildVersion:\t21A559
21:58:59.207066 | INFO    | fractal/utils/sysinfo.c             | print_model_info              :155   |   Make and Model: MacBookPro18,4
21:58:59.207074 | INFO    | fractal/utils/sysinfo.c             | print_cpu_info                :421   | CPU Vendor: AppleM1
21:58:59.207079 | INFO    | fractal/utils/sysinfo.c             | print_cpu_info                :422   | CPU Type: Apple M1 8-Core @ 3.2GHz
21:58:59.207081 | INFO    | fractal/utils/sysinfo.c             | print_cpu_info                :423   | Logical Cores: 8
21:58:59.207083 | INFO    | fractal/utils/sysinfo.c             | print_cpu_info                :424   | Physical Cores: 8
21:58:59.207085 | INFO    | fractal/utils/sysinfo.c             | print_cpu_info                :425   | HyperThreaded: false
21:58:59.415229 | INFO    | fractal/utils/sysinfo.c             | print_cpu_info                :432   |   CPU usage: 24.84% user, 27.87% sys, 47.27% idle 
21:58:59.614589 | INFO    | fractal/utils/sysinfo.c             | print_ram_info                :310   | Total RAM Usage: PhysMem: 38G used (2735M wired), 25G unused.
21:58:59.614603 | INFO    | fractal/utils/sysinfo.c             | print_ram_info                :312   | Total Physical RAM: 64.00 GB
21:58:59.614612 | INFO    | fractal/utils/sysinfo.c             | print_hard_drive_info         :457   | Hard Drive: 79.86GB/926.35GB used, 846.49GB available to Whist
22:00:10.608247 | INFO    | client/client_utils.c               | evaluate_arg                  :217   | Mapping port: origin=32262, destination=13541
22:00:10.608370 | INFO    | client/client_utils.c               | evaluate_arg                  :217   | Mapping port: origin=32263, destination=1685
22:00:10.608376 | INFO    | client/client_utils.c               | evaluate_arg                  :217   | Mapping port: origin=32273, destination=16269
