21:54:55:706 | WARNING | main.c          | main:637 | Failed to connect to server
21:54:55:792 | INFO    | main.c          | main:892 | Closing Client...
21:54:55:792 | INFO    | sdl_utils.c     | destroySDL:105 | Destroying SDL
21:55:46:579 | INFO    | video.c         | initMultithreadedVideo:396 | Creating renderer for 3200x1800 display
21:55:46:583 | INFO    | network.c       | CreateUDPClientContext:1070 | Connecting to server...
21:55:46:664 | INFO    | video.c         | RenderScreen:182 | RenderScreen running on Thread 21752
21:55:46:734 | WARNING | network.c       | CreateUDPClientContext:1102 | Connected to server on 52.168.66.248:32262! (Private 32262)

21:55:46:885 | INFO    | network.c       | CreateUDPClientContext:1070 | Connecting to server...
21:55:47:035 | WARNING | network.c       | CreateUDPClientContext:1102 | Connected to server on 52.168.66.248:32263! (Private 32263)

21:55:47:186 | INFO    | network.c       | CreateTCPClientContext:684 | Connecting to server...
21:55:47:387 | INFO    | network.c       | tcp_connect:297 | Bool TCP worked = 1

21:55:47:387 | INFO    | network.c       | tcp_connect:298 | Ret TCP = -1

21:55:47:387 | WARNING | network.c       | tcp_connect:308 | last network error = 10035

21:55:47:442 | INFO    | network.c       | CreateTCPClientContext:694 | Connected on 52.168.66.248:32264!

21:55:47:455 | INFO    | audio.c         | initAudio:63 | Freq: 48000
21:55:47:519 | INFO    | main.c          | ReceivePackets:237 | ReceivePackets running on Thread 24144
21:55:47:521 | INFO    | win_clipboard.c | lclipboard_directory:65 | Directory: C:\ProgramData\FractalCache
21:55:47:522 | INFO    | win_clipboard.c | lclipboard_directory:65 | Directory: C:\ProgramData\FractalCache
21:55:47:522 | INFO    | win_clipboard.c | lset_clipboard_directory:96 | SET PATH: C:\ProgramData\FractalCache\set_clipboard
21:55:47:524 | INFO    | main.c          | update:145 | Asking for server dimension to be 3200x1800
21:55:47:524 | INFO    | audio.c         | updateAudio:126 | Audio Queue too low: 4608. Needs to catch up!
21:55:47:630 | INFO    | main.c          | ReceiveMessage:478 | Received init message!

21:55:47:643 | INFO    | clipboard_synchronizer.c | ClipboardSynchronizerGetNewClipboard:235 | Pushing update to clipboard
21:55:47:645 | INFO    | network.c       | SendTCPPacket:126 | Sending TCP Packet of length 356

21:55:47:725 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 180.844100ms total!
21:55:47:725 | INFO    | main.c          | ReceiveMessage:466 | Changing audio frequency to 48000
21:55:48:020 | INFO    | main.c          | update:212 | Ping! 2
21:55:48:056 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 326.732600ms total!
21:55:48:056 | INFO    | main.c          | ReceiveMessage:455 | Latency: 0.036490
21:55:48:143 | INFO    | clipboard_synchronizer.c | UpdateClipboardThread:212 | Updated clipboard!
21:55:48:520 | INFO    | main.c          | update:212 | Ping! 3
21:55:48:541 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 455.584000ms total!
21:55:48:542 | INFO    | main.c          | ReceiveMessage:455 | Latency: 0.021759
21:55:48:601 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 55.288100ms total!
21:55:48:649 | INFO    | video.c         | RenderScreen:226 | Late! Rendering ID 1 (Age 0.047914) (Packets 33) (I-Frame)
21:55:48:649 | INFO    | video.c         | RenderScreen:238 | Updating client rendering to match server's width and height! From -1x-1 to 2560x1440
21:55:48:649 | INFO    | videodecode.c   | try_setup_video_decoder:106 | Trying QSV decoder
21:55:48:693 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 71.378400ms total!
21:55:48:746 | INFO    | videodecode.c   | create_video_decoder:241 | Video decoder: Success!
21:55:48:751 | WARNING | videodecode.c   | match_format:46 | Hardware format found: qsv

21:55:48:771 | WARNING | videodecode.c   | match_format:46 | Hardware format found: qsv

21:55:48:794 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 81.755400ms total!
21:55:48:869 | INFO    | video.c         | updateVideo:598 | Skip this render
21:55:48:870 | INFO    | video.c         | RenderScreen:226 | Late! Rendering ID 2 (Age 0.176874) (Packets 23) 
21:55:48:890 | INFO    | video.c         | RenderScreen:226 | Late! Rendering ID 3 (Age 0.095646) (Packets 28) 
21:55:48:896 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 79.090000ms total!
21:55:49:000 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 45.857800ms total!
21:55:49:020 | INFO    | main.c          | update:212 | Ping! 4
21:55:49:024 | INFO    | video.c         | updateVideo:598 | Skip this render
21:55:49:025 | INFO    | video.c         | RenderScreen:226 | Late! Rendering ID 4 (Age 0.128488) (Packets 28) 
21:55:49:037 | INFO    | video.c         | RenderScreen:226 | Late! Rendering ID 5 (Age 0.036648) (Packets 28) 
21:55:49:045 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 28.865700ms total!
