17:27:44.264018 | INFO    | client/client_utils.c               | evaluate_arg                  :216   | Mapping port: origin=32262, destination=26160
17:27:44.264071 | INFO    | client/client_utils.c               | evaluate_arg                  :216   | Mapping port: origin=32263, destination=48509
17:27:44.264075 | INFO    | client/client_utils.c               | evaluate_arg                  :216   | Mapping port: origin=32273, destination=10165
17:27:44.264199 | INFO    | fractal/logging/logging.c           | init_logger                   :108   | Logging initialized!
17:27:44.264214 | INFO    | client/main.c                       | main                          :311   | Client protocol started.
17:27:44.264217 | INFO    | fractal/logging/error_monitor.c     | error_monitor_initialize      :204   | Environment not set... not initializing error monitor
17:27:44.264266 | INFO    | client/main.c                       | main                          :322   | Whist client revision 0a09fbfbb
17:27:44.264275 | INFO    | fractal/core/fractal.c              | multithreaded_print_system_info:34    | Hardware information:
17:27:44.264328 | INFO    | fractal/utils/sysinfo.c             | print_os_info                 :99    |   OS: x86_64 Linux 324c95c93ed1 5.4.0-1029-aws #30-Ubuntu SMP Tue Oct 20 10:06:38 UTC 2020
17:27:44.266883 | INFO    | fractal/utils/sysinfo.c             | print_model_info              :167   |   Make and Model: Amazon EC2 g4dn.2xlarge
17:27:44.266931 | INFO    | fractal/utils/sysinfo.c             | print_cpu_info                :421   | CPU Vendor: GenuineIntel
17:27:44.266942 | INFO    | fractal/utils/sysinfo.c             | print_cpu_info                :422   | CPU Type: Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz
17:27:44.266952 | INFO    | fractal/utils/sysinfo.c             | print_cpu_info                :423   | Logical Cores: 8
17:27:44.266963 | INFO    | fractal/utils/sysinfo.c             | print_cpu_info                :424   | Physical Cores: 4
17:27:44.266978 | INFO    | fractal/utils/sysinfo.c             | print_cpu_info                :425   | HyperThreaded: true
17:27:44.266990 | INFO    | fractal/utils/sysinfo.c             | print_ram_info                :308   | Total RAM Usage: 14.48 GB
17:27:44.267017 | INFO    | fractal/utils/sysinfo.c             | print_ram_info                :312   | Total Physical RAM: 30.91 GB
17:27:44.267035 | INFO    | fractal/utils/sysinfo.c             | print_hard_drive_info         :456   | Hard Drive: 16.37GB/61.98GB used, 45.59GB available to Whist
17:27:44.314400 | INFO    | client/network.c                    | discover_ports                :86    | Trying to connect (Using STUN: false)
17:27:44.314478 | INFO    | fractal/network/tcp.c               | create_tcp_client_context     :647   | Connecting to server...
