Timeout before autoexit passed in: -1
Identifier passed in: 26160
17:27:24.555154 | INFO    | fractal/logging/logging.c           | init_logger                   :108   | Logging initialized!
17:27:24.555222 | INFO    | fractal/logging/error_monitor.c     | error_monitor_set_environment :119   | On local development - will not initialize sentry!
17:27:24.555237 | INFO    | server/main.c                       | main                          :247   | Server protocol started.
17:27:24.555242 | INFO    | fractal/logging/error_monitor.c     | error_monitor_initialize      :204   | Environment not set... not initializing error monitor
17:27:24.555470 | INFO    | server/main.c                       | main                          :262   | Whist server revision 0a09fbfbb
17:27:24.555475 | INFO    | fractal/input/uinput_input_driver.c | create_input_device           :344   | creating uinput input driver
17:27:24.555646 | INFO    | fractal/input/uinput_input_driver.c | create_input_device           :374   | Uinput input driver received 3 file descriptors: 13, 14, 15
17:27:24.555838 | INFO    | server/main.c                       | main                          :305   | Sending video and audio...
17:27:24.555848 | INFO    | server/main.c                       | main                          :310   | Receiving packets...
17:27:24.562563 | INFO    | server/main.c                       | multithreaded_sync_tcp_packets:182   | multithreaded_sync_tcp_packets running on Thread 0x7f1e9dc9a700
17:27:24.562642 | INFO    | fractal/clipboard/clipboard_synchronizer.c | init_clipboard_synchronizer   :104   | Initializing clipboard
17:27:24.563344 | INFO    | server/audio.c                      | multithreaded_send_audio      :71    | Created audio device!
17:27:24.564062 | INFO    | server/audio.c                      | multithreaded_send_audio      :82    | Audio Frequency: 44100
17:27:24.587510 | INFO    | server/network.c                    | multithreaded_manage_client   :348   | Is a client connected? no
17:27:24.587590 | INFO    | fractal/network/tcp.c               | create_tcp_server_context     :404   | Creating TCP Socket
17:27:24.587821 | INFO    | fractal/network/tcp.c               | create_tcp_server_context     :433   | Waiting for TCP Connection
17:27:29.590485 | INFO    | fractal/network/tcp.c               | create_tcp_server_context     :454   | No TCP Connection Retrieved, ending TCP connection attempt.
17:27:29.590537 | INFO    | server/network.c                    | multithreaded_manage_client   :348   | Is a client connected? no
17:27:29.590599 | INFO    | fractal/network/tcp.c               | create_tcp_server_context     :404   | Creating TCP Socket
17:27:29.590660 | INFO    | fractal/network/tcp.c               | create_tcp_server_context     :433   | Waiting for TCP Connection
17:27:34.572144 | INFO    | fractal/logging/log_statistic.c     | unsafe_print_statistics       :76    | STATISTIC -- Audio encode time (ms): avg 0.12, min 0.06, max 0.29 (368 samples)
17:27:34.594392 | INFO    | fractal/network/tcp.c               | create_tcp_server_context     :454   | No TCP Connection Retrieved, ending TCP connection attempt.
17:27:34.594442 | INFO    | server/network.c                    | multithreaded_manage_client   :348   | Is a client connected? no
17:27:34.594468 | INFO    | fractal/network/tcp.c               | create_tcp_server_context     :404   | Creating TCP Socket
17:27:34.594556 | INFO    | fractal/network/tcp.c               | create_tcp_server_context     :433   | Waiting for TCP Connection
17:27:39.598410 | INFO    | fractal/network/tcp.c               | create_tcp_server_context     :454   | No TCP Connection Retrieved, ending TCP connection attempt.
17:27:39.602437 | INFO    | server/network.c                    | multithreaded_manage_client   :348   | Is a client connected? no
17:27:39.602466 | INFO    | fractal/network/tcp.c               | create_tcp_server_context     :404   | Creating TCP Socket
17:27:39.602494 | INFO    | fractal/network/tcp.c               | create_tcp_server_context     :433   | Waiting for TCP Connection
17:27:44.515047 | INFO    | fractal/network/tcp.c               | create_tcp_server_context     :463   | Accepting TCP Connection
17:27:44.515102 | INFO    | fractal/network/tcp.c               | create_tcp_server_context     :471   | PORT: 38152
17:27:44.515126 | INFO    | fractal/network/tcp.c               | create_tcp_server_context     :476   | Client received at 3.236.143.226:38152!
17:27:44.565230 | INFO    | fractal/network/network.c           | handshake_private_key         :298   | Private key request received
17:27:44.585965 | INFO    | fractal/logging/log_statistic.c     | unsafe_print_statistics       :76    | STATISTIC -- Audio encode time (ms): avg 0.12, min 0.07, max 0.18 (432 samples)
17:27:44.615355 | INFO    | fractal/network/network.c           | handshake_private_key         :319   | Private key confirmed
17:27:44.620571 | INFO    | server/handle_client_message.c      | handle_init_message           :434   | Receiving a message time packet
17:27:44.620585 | INFO    | server/network.c                    | do_discovery_handshake        :164   | Sending discovery packet
17:27:44.620599 | INFO    | server/network.c                    | do_discovery_handshake        :165   | Fsmsg size is 36
17:27:44.620646 | INFO    | fractal/network/tcp.c               | tcp_send_constructed_packet   :182   | Sending a FractalPacket of size 91 over TCP
17:27:44.620703 | INFO    | server/network.c                    | do_discovery_handshake        :174   | Discovery handshake succeeded.
17:27:44.620781 | INFO    | fractal/network/throttle.c          | network_throttler_create      :43    | Created network throttler 0x7f1e840030d0
17:27:44.620952 | INFO    | fractal/network/udp.c               | create_udp_server_context     :387   | Waiting for client to connect to localhost:32263...
17:27:44.926200 | INFO    | fractal/network/network.c           | handshake_private_key         :298   | Private key request received
17:27:44.976337 | INFO    | fractal/network/network.c           | handshake_private_key         :319   | Private key confirmed
17:27:44.976357 | INFO    | fractal/network/udp.c               | create_udp_server_context     :410   | Client received at 3.236.143.226:33508!
17:27:45.028105 | INFO    | fractal/network/tcp.c               | create_tcp_server_context     :404   | Creating TCP Socket
17:27:45.028149 | INFO    | fractal/network/tcp.c               | create_tcp_server_context     :433   | Waiting for TCP Connection
17:27:45.226969 | INFO    | fractal/network/tcp.c               | create_tcp_server_context     :463   | Accepting TCP Connection
17:27:45.226995 | INFO    | fractal/network/tcp.c               | create_tcp_server_context     :471   | PORT: 51174
